No.,tf_torch,torch_mnn,tf_mnn,torch_time,tf_time,mnn_time
0,4.10E-08,8.221287,8.221287,0.000601768,0.025870562,0.008178473
1,5.24E-08,1.9191102,1.9191102,0.000194788,0.011214733,4.60E-05
2,8.13E-08,0.05211584,0.05211584,0.000152826,0.001776934,4.63E-05
3,9.68E-07,8.332115,8.332115,0.000152826,0.001899719,4.39E-05
4,3.61E-08,0.18948646,0.18948668,0.000175476,0.011473179,4.34E-05
5,9.80E-08,1.2190344,1.2190344,0.000155449,0.002145767,4.51E-05
6,4.39E-09,3.1311755,3.1311758,0.000175953,0.014567852,4.36E-05
7,8.03E-08,0.27678585,0.27678588,0.00015831,0.002384186,4.43E-05
8,3.77E-08,1.8495322,1.8495322,0.000159025,0.002488136,4.39E-05
9,1.99E-07,0.71166503,0.71166503,0.000176668,0.014184713,4.39E-05
10,2.71E-08,0.04879129,0.04879141,0.000156164,0.002720833,4.48E-05
11,1.09E-07,0.07959657,0.07959665,0.000155926,0.0028162,4.32E-05
12,9.54E-09,0.7276914,0.7276915,0.000178099,0.013421774,4.43E-05
13,2.36E-08,1.9820184,1.9820181,0.0001688,0.003773689,4.70E-05
14,8.47E-09,0.8573456,0.85734546,0.000176191,0.012748718,4.58E-05
15,1.42E-07,1.8963742,1.896374,0.00015831,0.003296137,4.51E-05
16,2.61E-08,1.4049214,1.4049214,0.000175714,0.013255835,4.39E-05
17,4.48E-09,2.2165008,2.2165008,0.000156641,0.003496408,4.55E-05
18,4.79E-08,2.7348094,2.7348096,0.000178576,0.013028145,4.51E-05
19,7.20E-10,0.36943322,0.36943313,0.00015974,0.003800631,4.43E-05
20,9.50E-09,3.2170324,3.2170322,0.000168324,0.003896713,4.43E-05
21,9.11E-08,51.53073,51.530746,0.000170946,0.004045486,4.58E-05
22,3.91E-08,4.2149363,4.2149363,0.000216246,0.004394531,4.60E-05
23,8.25E-10,0.23147565,0.23147553,0.000172377,0.004319429,5.41E-05
24,1.10E-08,0.24011834,0.24011834,0.000169516,0.004409075,4.65E-05
25,6.14E-08,23.265896,23.265892,0.000178099,0.004575968,4.55E-05
26,5.11E-08,2.8237102,2.8237104,0.000181198,0.004860163,4.48E-05
27,2.71E-06,0.26079497,0.260795,0.000169516,0.004766703,4.60E-05
28,1.03E-06,2.1392431,2.1392434,0.000174284,0.004895926,4.72E-05
29,1.06E-08,2.5643878,2.5643878,0.000178576,0.004956961,4.55E-05
30,1.66E-08,0.15327927,0.15327883,0.000176191,0.005151272,4.74E-05
31,2.49E-08,1.7946699,1.7946699,0.000173092,0.005202532,4.67E-05
32,3.29E-08,0.025236078,0.02523613,0.00017333,0.005322933,4.58E-05
33,1.71E-08,0.002680249,0.002680282,0.000175714,0.005478621,4.86E-05
34,5.31E-08,0.8471748,0.8471749,0.000177622,0.005579233,4.77E-05
35,6.07E-09,0.04670241,0.046702437,0.000174761,0.005675316,4.70E-05
36,1.17E-07,10.639608,10.639608,0.000172615,0.005799532,4.72E-05
37,6.07E-08,4.1163015,4.1163015,0.000171661,0.005930901,4.70E-05
38,5.90E-08,0.36540398,0.36540416,0.000179291,0.006111383,4.53E-05
39,2.57E-09,28.118584,28.118584,0.000180244,0.006164789,4.65E-05
40,2.65E-08,0.1389739,0.1389739,0.000177383,0.006326914,4.98E-05
41,2.76E-08,0.76642156,0.76642156,0.000186205,0.006445408,4.70E-05
42,1.69E-09,1.7576028,1.7576025,0.00018239,0.006514311,5.20E-05
