ID,crash_style,max,mean,norm,record_time,baseID
1,6,nan,nan,nan,2021-04-21 12:51:08,694
1,-6,nan,nan,nan,2021-04-21 12:51:08,694
2,6,nan,nan,nan,2021-04-21 12:51:10,811
2,-6,nan,nan,nan,2021-04-21 12:51:10,811
3,6,nan,nan,nan,2021-04-21 12:51:11,859
3,-6,nan,nan,nan,2021-04-21 12:51:11,859
4,6,nan,nan,nan,2021-04-21 12:51:12,914
4,-6,nan,nan,nan,2021-04-21 12:51:12,914
5,6,nan,nan,nan,2021-04-21 12:51:13,982
5,-6,nan,nan,nan,2021-04-21 12:51:13,982
6,6,nan,nan,nan,2021-04-21 12:51:13,987
6,-6,nan,nan,nan,2021-04-21 12:51:13,987
7,6,nan,nan,nan,2021-04-21 12:51:14,1032
7,-6,nan,nan,nan,2021-04-21 12:51:14,1032
8,6,nan,nan,nan,2021-04-21 12:51:14,1058
8,-6,nan,nan,nan,2021-04-21 12:51:14,1058
9,6,nan,nan,nan,2021-04-21 12:51:16,1117
9,-6,nan,nan,nan,2021-04-21 12:51:16,1117
10,6,nan,nan,nan,2021-04-21 12:51:16,1152
10,-6,nan,nan,nan,2021-04-21 12:51:16,1152
11,6,nan,nan,nan,2021-04-21 12:51:17,1178
11,-6,nan,nan,nan,2021-04-21 12:51:17,1178
12,6,nan,nan,nan,2021-04-21 12:51:17,1192
12,-6,nan,nan,nan,2021-04-21 12:51:17,1192
13,6,nan,nan,nan,2021-04-21 12:51:19,1302
13,-6,nan,nan,nan,2021-04-21 12:51:19,1302
14,6,nan,nan,nan,2021-04-21 12:51:20,1332
14,-6,nan,nan,nan,2021-04-21 12:51:20,1332
15,6,nan,nan,nan,2021-04-21 12:51:20,1344
15,-6,nan,nan,nan,2021-04-21 12:51:20,1344
16,6,nan,nan,nan,2021-04-21 12:51:23,1490
16,-6,nan,nan,nan,2021-04-21 12:51:23,1490
17,6,nan,nan,nan,2021-04-21 12:51:23,1508
17,-6,nan,nan,nan,2021-04-21 12:51:23,1508
18,6,nan,nan,nan,2021-04-21 12:51:26,1630
18,-6,nan,nan,nan,2021-04-21 12:51:26,1630
19,6,nan,nan,nan,2021-04-21 12:51:26,1642
