ID,crash_style,max,mean,norm,record_time,baseID
1,6,nan,nan,nan,2021-04-21 12:50:06,13
1,-6,nan,nan,nan,2021-04-21 12:50:06,13
2,6,nan,nan,nan,2021-04-21 12:50:06,15
2,-6,nan,nan,nan,2021-04-21 12:50:06,15
3,6,nan,nan,nan,2021-04-21 12:50:06,16
3,-6,nan,nan,nan,2021-04-21 12:50:06,16
4,6,nan,nan,nan,2021-04-21 12:50:06,44
4,-6,nan,nan,nan,2021-04-21 12:50:06,44
5,6,nan,nan,nan,2021-04-21 12:50:07,49
5,-6,nan,nan,nan,2021-04-21 12:50:07,49
6,6,nan,nan,nan,2021-04-21 12:50:07,53
6,-6,nan,nan,nan,2021-04-21 12:50:07,53
7,6,nan,nan,nan,2021-04-21 12:50:07,76
7,-6,nan,nan,nan,2021-04-21 12:50:07,76
8,6,nan,nan,nan,2021-04-21 12:50:07,79
8,-6,nan,nan,nan,2021-04-21 12:50:07,79
9,6,nan,nan,nan,2021-04-21 12:50:07,92
9,-6,nan,nan,nan,2021-04-21 12:50:07,92
10,6,nan,nan,nan,2021-04-21 12:50:07,96
10,-6,nan,nan,nan,2021-04-21 12:50:07,96
11,6,nan,nan,nan,2021-04-21 12:50:07,101
11,-6,nan,nan,nan,2021-04-21 12:50:07,101
12,6,nan,nan,nan,2021-04-21 12:50:08,111
12,-6,nan,nan,nan,2021-04-21 12:50:08,111
13,6,nan,nan,nan,2021-04-21 12:50:08,117
13,-6,nan,nan,nan,2021-04-21 12:50:08,117
14,6,nan,nan,nan,2021-04-21 12:50:08,123
14,-6,nan,nan,nan,2021-04-21 12:50:08,123
15,6,nan,nan,nan,2021-04-21 12:50:08,132
15,-6,nan,nan,nan,2021-04-21 12:50:08,132
16,6,nan,nan,nan,2021-04-21 12:50:08,137
16,-6,nan,nan,nan,2021-04-21 12:50:08,137
17,6,nan,nan,nan,2021-04-21 12:50:08,154
17,-6,nan,nan,nan,2021-04-21 12:50:08,154
18,6,nan,nan,nan,2021-04-21 12:50:08,161
18,-6,nan,nan,nan,2021-04-21 12:50:08,161
19,6,nan,nan,nan,2021-04-21 12:50:09,175
19,-6,nan,nan,nan,2021-04-21 12:50:09,175
20,6,nan,nan,nan,2021-04-21 12:50:09,188
20,-6,nan,nan,nan,2021-04-21 12:50:09,188
21,6,nan,nan,nan,2021-04-21 12:50:09,191
