ID,crash_style,max,mean,norm,record_time,baseID
1,6,nan,nan,nan,2021-04-21 12:50:25,1001
1,-6,nan,nan,nan,2021-04-21 12:50:25,1001
2,6,nan,nan,nan,2021-04-21 12:50:26,1088
2,-6,nan,nan,nan,2021-04-21 12:50:26,1088
3,6,nan,nan,nan,2021-04-21 12:50:28,1190
3,-6,nan,nan,nan,2021-04-21 12:50:28,1190
4,6,nan,nan,nan,2021-04-21 12:50:31,1374
4,-6,nan,nan,nan,2021-04-21 12:50:31,1374
5,6,nan,nan,nan,2021-04-21 12:50:34,1597
5,-6,nan,nan,nan,2021-04-21 12:50:34,1597
6,6,nan,nan,nan,2021-04-21 12:50:37,1762
6,-6,nan,nan,nan,2021-04-21 12:50:37,1762
7,6,nan,nan,nan,2021-04-21 12:50:41,1877
7,-6,nan,nan,nan,2021-04-21 12:50:41,1877
8,6,nan,nan,nan,2021-04-21 12:50:50,2226
8,-6,nan,nan,nan,2021-04-21 12:50:50,2226
9,6,nan,nan,nan,2021-04-21 12:50:50,2269
9,-6,nan,nan,nan,2021-04-21 12:50:50,2269
10,6,nan,nan,nan,2021-04-21 12:50:56,2558
10,-6,nan,nan,nan,2021-04-21 12:50:56,2558
11,6,nan,nan,nan,2021-04-21 12:50:56,2569
11,-6,nan,nan,nan,2021-04-21 12:50:56,2569
12,6,nan,nan,nan,2021-04-21 12:50:58,2681
12,-6,nan,nan,nan,2021-04-21 12:50:58,2681
13,6,nan,nan,nan,2021-04-21 12:51:11,3392
13,-6,nan,nan,nan,2021-04-21 12:51:11,3392
14,6,nan,nan,nan,2021-04-21 12:51:13,3514
14,-6,nan,nan,nan,2021-04-21 12:51:13,3514
15,6,nan,nan,nan,2021-04-21 12:51:14,3574
15,-6,nan,nan,nan,2021-04-21 12:51:14,3574
16,6,nan,nan,nan,2021-04-21 12:51:15,3659
16,-6,nan,nan,nan,2021-04-21 12:51:15,3659
17,6,nan,nan,nan,2021-04-21 12:51:16,3706
17,-6,nan,nan,nan,2021-04-21 12:51:16,3706
18,6,nan,nan,nan,2021-04-21 12:51:16,3738
18,-6,nan,nan,nan,2021-04-21 12:51:16,3738
19,6,nan,nan,nan,2021-04-21 12:51:17,3795
19,-6,nan,nan,nan,2021-04-21 12:51:17,3795
20,6,nan,nan,nan,2021-04-21 12:51:18,3833
20,-6,nan,nan,nan,2021-04-21 12:51:18,3833
21,6,nan,nan,nan,2021-04-21 12:51:18,3857
21,-6,nan,nan,nan,2021-04-21 12:51:18,3857
22,6,nan,nan,nan,2021-04-21 12:51:19,3877
22,-6,nan,nan,nan,2021-04-21 12:51:19,3877
23,6,nan,nan,nan,2021-04-21 12:51:20,3976
23,-6,nan,nan,nan,2021-04-21 12:51:20,3976
24,6,nan,nan,nan,2021-04-21 12:51:20,3986
24,-6,nan,nan,nan,2021-04-21 12:51:20,3986
25,6,nan,nan,nan,2021-04-21 12:51:21,4022
25,-6,nan,nan,nan,2021-04-21 12:51:21,4022
26,6,nan,nan,nan,2021-04-21 12:51:21,4038
26,-6,nan,nan,nan,2021-04-21 12:51:21,4038
27,6,nan,nan,nan,2021-04-21 12:51:21,4066
27,-6,nan,nan,nan,2021-04-21 12:51:21,4066
28,6,nan,nan,nan,2021-04-21 12:51:22,4088
28,-6,nan,nan,nan,2021-04-21 12:51:22,4088
29,6,nan,nan,nan,2021-04-21 12:51:22,4114
29,-6,nan,nan,nan,2021-04-21 12:51:22,4114
30,6,nan,nan,nan,2021-04-21 12:51:23,4142
30,-6,nan,nan,nan,2021-04-21 12:51:23,4142
31,6,nan,nan,nan,2021-04-21 12:51:24,4197
31,-6,nan,nan,nan,2021-04-21 12:51:24,4197
32,6,nan,nan,nan,2021-04-21 12:51:24,4202
32,-6,nan,nan,nan,2021-04-21 12:51:24,4202
33,6,nan,nan,nan,2021-04-21 12:51:24,4225
33,-6,nan,nan,nan,2021-04-21 12:51:24,4225
34,6,nan,nan,nan,2021-04-21 12:51:25,4260
34,-6,nan,nan,nan,2021-04-21 12:51:25,4260
35,6,nan,nan,nan,2021-04-21 12:51:25,4263
35,-6,nan,nan,nan,2021-04-21 12:51:25,4263
36,6,nan,nan,nan,2021-04-21 12:51:26,4280
36,-6,nan,nan,nan,2021-04-21 12:51:26,4280
37,6,nan,nan,nan,2021-04-21 12:51:26,4304
37,-6,nan,nan,nan,2021-04-21 12:51:26,4304
38,6,nan,nan,nan,2021-04-21 12:51:26,4308
38,-6,nan,nan,nan,2021-04-21 12:51:26,4308
39,6,nan,nan,nan,2021-04-21 12:51:27,4359
39,-6,nan,nan,nan,2021-04-21 12:51:27,4359
40,6,nan,nan,nan,2021-04-21 12:51:27,4377
40,-6,nan,nan,nan,2021-04-21 12:51:27,4377
41,6,nan,nan,nan,2021-04-21 12:51:28,4461
41,-6,nan,nan,nan,2021-04-21 12:51:28,4461
42,6,nan,nan,nan,2021-04-21 12:51:29,4473
42,-6,nan,nan,nan,2021-04-21 12:51:29,4473
43,6,nan,nan,nan,2021-04-21 12:51:29,4484
43,-6,nan,nan,nan,2021-04-21 12:51:29,4484
44,6,nan,nan,nan,2021-04-21 12:51:31,4538
44,-6,nan,nan,nan,2021-04-21 12:51:31,4538
45,6,nan,nan,nan,2021-04-21 12:51:31,4560
45,-6,nan,nan,nan,2021-04-21 12:51:31,4560
