ID,crash_style,max,mean,norm,record_time,baseID
1,6,nan,nan,nan,2021-04-21 12:51:19,833
1,-6,nan,nan,nan,2021-04-21 12:51:19,833
2,6,nan,nan,nan,2021-04-21 12:51:23,1097
2,-6,nan,nan,nan,2021-04-21 12:51:23,1097
3,6,nan,nan,nan,2021-04-21 12:51:23,1128
3,-6,nan,nan,nan,2021-04-21 12:51:23,1128
4,6,nan,nan,nan,2021-04-21 12:51:26,1265
4,-6,nan,nan,nan,2021-04-21 12:51:26,1265
5,6,nan,nan,nan,2021-04-21 12:51:29,1438
5,-6,nan,nan,nan,2021-04-21 12:51:29,1438
6,6,nan,nan,nan,2021-04-21 12:51:29,1461
6,-6,nan,nan,nan,2021-04-21 12:51:29,1461
7,6,nan,nan,nan,2021-04-21 12:51:30,1515
7,-6,nan,nan,nan,2021-04-21 12:51:30,1515
8,6,nan,nan,nan,2021-04-21 12:51:31,1558
8,-6,nan,nan,nan,2021-04-21 12:51:31,1558
9,6,nan,nan,nan,2021-04-21 12:51:31,1589
9,-6,nan,nan,nan,2021-04-21 12:51:31,1589
10,6,nan,nan,nan,2021-04-21 12:51:32,1641
10,-6,nan,nan,nan,2021-04-21 12:51:32,1641
11,6,nan,nan,nan,2021-04-21 12:51:32,1642
11,-6,nan,nan,nan,2021-04-21 12:51:32,1642
12,6,nan,nan,nan,2021-04-21 12:51:35,1798
12,-6,nan,nan,nan,2021-04-21 12:51:35,1798
13,6,nan,nan,nan,2021-04-21 12:51:37,1899
13,-6,nan,nan,nan,2021-04-21 12:51:37,1899
14,6,nan,nan,nan,2021-04-21 12:51:37,1912
14,-6,nan,nan,nan,2021-04-21 12:51:37,1912
15,6,nan,nan,nan,2021-04-21 12:51:38,1951
15,-6,nan,nan,nan,2021-04-21 12:51:38,1951
16,6,nan,nan,nan,2021-04-21 12:51:38,1962
16,-6,nan,nan,nan,2021-04-21 12:51:38,1962
17,6,nan,nan,nan,2021-04-21 12:51:38,1964
17,-6,nan,nan,nan,2021-04-21 12:51:38,1964
18,6,nan,nan,nan,2021-04-21 12:51:39,2023
18,-6,nan,nan,nan,2021-04-21 12:51:39,2023
19,6,nan,nan,nan,2021-04-21 12:51:41,2083
19,-6,nan,nan,nan,2021-04-21 12:51:41,2083
20,6,nan,nan,nan,2021-04-21 12:51:42,2133
20,-6,nan,nan,nan,2021-04-21 12:51:42,2133
21,6,nan,nan,nan,2021-04-21 12:51:42,2139
21,-6,nan,nan,nan,2021-04-21 12:51:42,2139
22,6,nan,nan,nan,2021-04-21 12:51:43,2188
22,-6,nan,nan,nan,2021-04-21 12:51:43,2188
23,6,nan,nan,nan,2021-04-21 12:51:44,2207
23,-6,nan,nan,nan,2021-04-21 12:51:44,2207
24,6,nan,nan,nan,2021-04-21 12:51:44,2217
24,-6,nan,nan,nan,2021-04-21 12:51:44,2217
25,6,nan,nan,nan,2021-04-21 12:51:44,2219
25,-6,nan,nan,nan,2021-04-21 12:51:44,2219
26,6,nan,nan,nan,2021-04-21 12:51:44,2254
26,-6,nan,nan,nan,2021-04-21 12:51:44,2254
27,6,nan,nan,nan,2021-04-21 12:51:46,2320
27,-6,nan,nan,nan,2021-04-21 12:51:46,2320
28,6,nan,nan,nan,2021-04-21 12:51:46,2342
28,-6,nan,nan,nan,2021-04-21 12:51:46,2342
29,6,nan,nan,nan,2021-04-21 12:51:46,2344
29,-6,nan,nan,nan,2021-04-21 12:51:46,2344
30,6,nan,nan,nan,2021-04-21 12:51:50,2476
30,-6,nan,nan,nan,2021-04-21 12:51:50,2476
31,6,nan,nan,nan,2021-04-21 12:51:51,2529
31,-6,nan,nan,nan,2021-04-21 12:51:51,2529
32,6,nan,nan,nan,2021-04-21 12:51:51,2556
32,-6,nan,nan,nan,2021-04-21 12:51:51,2556
33,6,nan,nan,nan,2021-04-21 12:51:51,2559
33,-6,nan,nan,nan,2021-04-21 12:51:51,2559
34,6,nan,nan,nan,2021-04-21 12:51:53,2639
34,-6,nan,nan,nan,2021-04-21 12:51:53,2639
35,6,nan,nan,nan,2021-04-21 12:51:53,2642
35,-6,nan,nan,nan,2021-04-21 12:51:53,2642
36,6,nan,nan,nan,2021-04-21 12:51:53,2671
