ID,crash_style,max,mean,norm,record_time,baseID
1,6,nan,nan,nan,2021-04-21 12:28:15,58
1,-6,nan,nan,nan,2021-04-21 12:28:15,58
2,6,nan,nan,nan,2021-04-21 12:28:18,211
2,-6,nan,nan,nan,2021-04-21 12:28:18,211
3,6,nan,nan,nan,2021-04-21 12:28:20,346
3,-6,nan,nan,nan,2021-04-21 12:28:20,346
4,6,nan,nan,nan,2021-04-21 12:28:23,510
4,-6,nan,nan,nan,2021-04-21 12:28:23,510
5,6,nan,nan,nan,2021-04-21 12:28:26,634
5,-6,nan,nan,nan,2021-04-21 12:28:26,634
6,6,nan,nan,nan,2021-04-21 12:28:26,665
6,-6,nan,nan,nan,2021-04-21 12:28:26,665
7,6,nan,nan,nan,2021-04-21 12:28:27,705
7,-6,nan,nan,nan,2021-04-21 12:28:27,705
8,6,nan,nan,nan,2021-04-21 12:28:29,796
8,-6,nan,nan,nan,2021-04-21 12:28:29,796
9,6,nan,nan,nan,2021-04-21 12:28:29,820
9,-6,nan,nan,nan,2021-04-21 12:28:29,820
10,6,nan,nan,nan,2021-04-21 12:28:30,847
10,-6,nan,nan,nan,2021-04-21 12:28:30,847
11,6,nan,nan,nan,2021-04-21 12:28:30,854
11,-6,nan,nan,nan,2021-04-21 12:28:30,854
12,6,nan,nan,nan,2021-04-21 12:28:30,862
12,-6,nan,nan,nan,2021-04-21 12:28:30,862
13,6,nan,nan,nan,2021-04-21 12:28:31,894
13,-6,nan,nan,nan,2021-04-21 12:28:31,894
14,6,nan,nan,nan,2021-04-21 12:28:31,895
14,-6,nan,nan,nan,2021-04-21 12:28:31,895
15,6,nan,nan,nan,2021-04-21 12:28:31,902
15,-6,nan,nan,nan,2021-04-21 12:28:31,902
16,6,nan,nan,nan,2021-04-21 12:28:32,950
16,-6,nan,nan,nan,2021-04-21 12:28:32,950
17,6,nan,nan,nan,2021-04-21 12:28:32,958
17,-6,nan,nan,nan,2021-04-21 12:28:32,958
18,6,nan,nan,nan,2021-04-21 12:28:32,980
18,-6,nan,nan,nan,2021-04-21 12:28:32,980
19,6,nan,nan,nan,2021-04-21 12:28:32,985
19,-6,nan,nan,nan,2021-04-21 12:28:32,985
20,6,nan,nan,nan,2021-04-21 12:28:33,1035
20,-6,nan,nan,nan,2021-04-21 12:28:33,1035
21,6,nan,nan,nan,2021-04-21 12:28:34,1055
21,-6,nan,nan,nan,2021-04-21 12:28:34,1055
22,6,nan,nan,nan,2021-04-21 12:28:35,1085
22,-6,nan,nan,nan,2021-04-21 12:28:35,1085
23,6,nan,nan,nan,2021-04-21 12:28:35,1091
23,-6,nan,nan,nan,2021-04-21 12:28:35,1091
24,6,nan,nan,nan,2021-04-21 12:28:37,1176
24,-6,nan,nan,nan,2021-04-21 12:28:37,1176
25,6,nan,nan,nan,2021-04-21 12:28:37,1183
25,-6,nan,nan,nan,2021-04-21 12:28:37,1183
26,6,nan,nan,nan,2021-04-21 12:28:38,1224
26,-6,nan,nan,nan,2021-04-21 12:28:38,1224
27,6,nan,nan,nan,2021-04-21 12:28:39,1239
27,-6,nan,nan,nan,2021-04-21 12:28:39,1239
28,6,nan,nan,nan,2021-04-21 12:28:39,1247
28,-6,nan,nan,nan,2021-04-21 12:28:39,1247
29,6,nan,nan,nan,2021-04-21 12:28:39,1259
29,-6,nan,nan,nan,2021-04-21 12:28:39,1259
30,6,nan,nan,nan,2021-04-21 12:28:39,1264
30,-6,nan,nan,nan,2021-04-21 12:28:39,1264
31,6,nan,nan,nan,2021-04-21 12:28:40,1292
31,-6,nan,nan,nan,2021-04-21 12:28:40,1292
32,6,nan,nan,nan,2021-04-21 12:28:42,1369
32,-6,nan,nan,nan,2021-04-21 12:28:42,1369
33,6,nan,nan,nan,2021-04-21 12:28:42,1373
33,-6,nan,nan,nan,2021-04-21 12:28:42,1373
34,6,nan,nan,nan,2021-04-21 12:28:43,1400
34,-6,nan,nan,nan,2021-04-21 12:28:43,1400
35,6,nan,nan,nan,2021-04-21 12:28:43,1412
35,-6,nan,nan,nan,2021-04-21 12:28:43,1412
36,6,nan,nan,nan,2021-04-21 12:28:44,1435
36,-6,nan,nan,nan,2021-04-21 12:28:44,1435
37,6,nan,nan,nan,2021-04-21 12:28:44,1447
37,-6,nan,nan,nan,2021-04-21 12:28:44,1447
38,6,nan,nan,nan,2021-04-21 12:28:44,1450
38,-6,nan,nan,nan,2021-04-21 12:28:44,1450
39,6,nan,nan,nan,2021-04-21 12:28:45,1487
39,-6,nan,nan,nan,2021-04-21 12:28:45,1487
40,6,nan,nan,nan,2021-04-21 12:28:45,1493
40,-6,nan,nan,nan,2021-04-21 12:28:45,1493
41,6,nan,nan,nan,2021-04-21 12:28:45,1495
41,-6,nan,nan,nan,2021-04-21 12:28:45,1495
42,6,nan,nan,nan,2021-04-21 12:28:46,1519
42,-6,nan,nan,nan,2021-04-21 12:28:46,1519
43,6,nan,nan,nan,2021-04-21 12:28:46,1535
43,-6,nan,nan,nan,2021-04-21 12:28:46,1535
44,6,nan,nan,nan,2021-04-21 12:28:46,1541
44,-6,nan,nan,nan,2021-04-21 12:28:46,1541
45,6,nan,nan,nan,2021-04-21 12:28:46,1542
45,-6,nan,nan,nan,2021-04-21 12:28:46,1542
46,6,nan,nan,nan,2021-04-21 12:28:47,1592
46,-6,nan,nan,nan,2021-04-21 12:28:47,1592
47,6,nan,nan,nan,2021-04-21 12:28:47,1596
47,-6,nan,nan,nan,2021-04-21 12:28:47,1596
48,6,nan,nan,nan,2021-04-21 12:28:48,1597
48,-6,nan,nan,nan,2021-04-21 12:28:48,1597
49,6,nan,nan,nan,2021-04-21 12:28:48,1635
49,-6,nan,nan,nan,2021-04-21 12:28:48,1635
50,6,nan,nan,nan,2021-04-21 12:28:49,1648
50,-6,nan,nan,nan,2021-04-21 12:28:49,1648
51,6,nan,nan,nan,2021-04-21 12:28:49,1672
51,-6,nan,nan,nan,2021-04-21 12:28:49,1672
52,6,nan,nan,nan,2021-04-21 12:28:49,1685
52,-6,nan,nan,nan,2021-04-21 12:28:49,1685
53,6,nan,nan,nan,2021-04-21 12:28:50,1718
53,-6,nan,nan,nan,2021-04-21 12:28:50,1718
54,6,nan,nan,nan,2021-04-21 12:28:51,1770
54,-6,nan,nan,nan,2021-04-21 12:28:51,1770
55,6,nan,nan,nan,2021-04-21 12:28:52,1774
55,-6,nan,nan,nan,2021-04-21 12:28:52,1774
56,6,nan,nan,nan,2021-04-21 12:28:52,1780
56,-6,nan,nan,nan,2021-04-21 12:28:52,1780
