ID,crash_style,max,mean,norm,record_time,baseID
1,6,nan,nan,nan,2021-04-21 12:28:33,492
1,-6,nan,nan,nan,2021-04-21 12:28:33,492
2,6,nan,nan,nan,2021-04-21 12:28:58,1488
2,-6,nan,nan,nan,2021-04-21 12:28:58,1488
3,6,nan,nan,nan,2021-04-21 12:29:02,1642
3,-6,nan,nan,nan,2021-04-21 12:29:02,1642
4,6,nan,nan,nan,2021-04-21 12:29:02,1645
4,-6,nan,nan,nan,2021-04-21 12:29:02,1645
5,6,nan,nan,nan,2021-04-21 12:29:04,1706
5,-6,nan,nan,nan,2021-04-21 12:29:04,1706
6,6,nan,nan,nan,2021-04-21 12:29:08,1866
6,-6,nan,nan,nan,2021-04-21 12:29:08,1866
7,6,nan,nan,nan,2021-04-21 12:29:08,1881
7,-6,nan,nan,nan,2021-04-21 12:29:08,1881
8,6,nan,nan,nan,2021-04-21 12:29:12,2036
8,-6,nan,nan,nan,2021-04-21 12:29:12,2036
9,6,nan,nan,nan,2021-04-21 12:29:14,2102
9,-6,nan,nan,nan,2021-04-21 12:29:14,2102
10,6,nan,nan,nan,2021-04-21 12:29:18,2277
10,-6,nan,nan,nan,2021-04-21 12:29:18,2277
11,6,nan,nan,nan,2021-04-21 12:29:19,2293
11,-6,nan,nan,nan,2021-04-21 12:29:19,2293
12,6,nan,nan,nan,2021-04-21 12:29:19,2298
12,-6,nan,nan,nan,2021-04-21 12:29:19,2298
13,6,nan,nan,nan,2021-04-21 12:29:19,2317
13,-6,nan,nan,nan,2021-04-21 12:29:19,2317
14,6,nan,nan,nan,2021-04-21 12:29:20,2343
14,-6,nan,nan,nan,2021-04-21 12:29:20,2343
15,6,nan,nan,nan,2021-04-21 12:29:20,2369
15,-6,nan,nan,nan,2021-04-21 12:29:20,2369
16,6,nan,nan,nan,2021-04-21 12:29:20,2376
16,-6,nan,nan,nan,2021-04-21 12:29:20,2376
17,6,nan,nan,nan,2021-04-21 12:29:22,2447
17,-6,nan,nan,nan,2021-04-21 12:29:22,2447
18,6,nan,nan,nan,2021-04-21 12:29:22,2456
18,-6,nan,nan,nan,2021-04-21 12:29:22,2456
19,6,nan,nan,nan,2021-04-21 12:29:23,2465
19,-6,nan,nan,nan,2021-04-21 12:29:23,2465
20,6,nan,nan,nan,2021-04-21 12:29:25,2544
20,-6,nan,nan,nan,2021-04-21 12:29:25,2544
21,6,nan,nan,nan,2021-04-21 12:29:26,2594
21,-6,nan,nan,nan,2021-04-21 12:29:26,2594
22,6,nan,nan,nan,2021-04-21 12:29:26,2610
22,-6,nan,nan,nan,2021-04-21 12:29:26,2610
23,6,nan,nan,nan,2021-04-21 12:29:27,2649
23,-6,nan,nan,nan,2021-04-21 12:29:27,2649
24,6,nan,nan,nan,2021-04-21 12:29:27,2661
24,-6,nan,nan,nan,2021-04-21 12:29:27,2661
25,6,nan,nan,nan,2021-04-21 12:29:27,2663
25,-6,nan,nan,nan,2021-04-21 12:29:27,2663
26,6,nan,nan,nan,2021-04-21 12:29:27,2667
26,-6,nan,nan,nan,2021-04-21 12:29:27,2667
27,6,nan,nan,nan,2021-04-21 12:29:28,2670
27,-6,nan,nan,nan,2021-04-21 12:29:28,2670
28,6,nan,nan,nan,2021-04-21 12:29:28,2681
28,-6,nan,nan,nan,2021-04-21 12:29:28,2681
29,6,nan,nan,nan,2021-04-21 12:29:29,2719
29,-6,nan,nan,nan,2021-04-21 12:29:29,2719
30,6,nan,nan,nan,2021-04-21 12:29:29,2735
30,-6,nan,nan,nan,2021-04-21 12:29:29,2735
31,6,nan,nan,nan,2021-04-21 12:29:30,2772
31,-6,nan,nan,nan,2021-04-21 12:29:30,2772
32,6,nan,nan,nan,2021-04-21 12:29:30,2777
32,-6,nan,nan,nan,2021-04-21 12:29:30,2777
33,6,nan,nan,nan,2021-04-21 12:29:30,2783
33,-6,nan,nan,nan,2021-04-21 12:29:30,2783
34,6,nan,nan,nan,2021-04-21 12:29:31,2798
34,-6,nan,nan,nan,2021-04-21 12:29:31,2798
35,6,nan,nan,nan,2021-04-21 12:29:31,2803
35,-6,nan,nan,nan,2021-04-21 12:29:31,2803
36,6,nan,nan,nan,2021-04-21 12:29:31,2814
36,-6,nan,nan,nan,2021-04-21 12:29:31,2814
37,6,nan,nan,nan,2021-04-21 12:29:31,2825
37,-6,nan,nan,nan,2021-04-21 12:29:31,2825
38,6,nan,nan,nan,2021-04-21 12:29:31,2837
38,-6,nan,nan,nan,2021-04-21 12:29:31,2837
39,6,nan,nan,nan,2021-04-21 12:29:32,2865
39,-6,nan,nan,nan,2021-04-21 12:29:32,2865
40,6,nan,nan,nan,2021-04-21 12:29:32,2877
40,-6,nan,nan,nan,2021-04-21 12:29:32,2877
41,6,nan,nan,nan,2021-04-21 12:29:33,2926
41,-6,nan,nan,nan,2021-04-21 12:29:33,2926
42,6,nan,nan,nan,2021-04-21 12:29:34,2945
42,-6,nan,nan,nan,2021-04-21 12:29:34,2945
43,6,nan,nan,nan,2021-04-21 12:29:34,2950
43,-6,nan,nan,nan,2021-04-21 12:29:34,2950
44,6,nan,nan,nan,2021-04-21 12:29:34,2963
44,-6,nan,nan,nan,2021-04-21 12:29:34,2963
45,6,nan,nan,nan,2021-04-21 12:29:35,2978
45,-6,nan,nan,nan,2021-04-21 12:29:35,2978
46,6,nan,nan,nan,2021-04-21 12:29:35,3006
46,-6,nan,nan,nan,2021-04-21 12:29:35,3006
47,6,nan,nan,nan,2021-04-21 12:29:35,3007
47,-6,nan,nan,nan,2021-04-21 12:29:35,3007
48,6,nan,nan,nan,2021-04-21 12:29:35,3027
48,-6,nan,nan,nan,2021-04-21 12:29:35,3027
49,6,nan,nan,nan,2021-04-21 12:29:36,3045
49,-6,nan,nan,nan,2021-04-21 12:29:36,3045
50,6,nan,nan,nan,2021-04-21 12:29:36,3060
50,-6,nan,nan,nan,2021-04-21 12:29:36,3060
51,6,nan,nan,nan,2021-04-21 12:29:36,3061
51,-6,nan,nan,nan,2021-04-21 12:29:36,3061
52,6,nan,nan,nan,2021-04-21 12:29:36,3062
52,-6,nan,nan,nan,2021-04-21 12:29:36,3062
53,6,nan,nan,nan,2021-04-21 12:29:37,3070
53,-6,nan,nan,nan,2021-04-21 12:29:37,3070
54,6,nan,nan,nan,2021-04-21 12:29:37,3081
54,-6,nan,nan,nan,2021-04-21 12:29:37,3081
55,6,nan,nan,nan,2021-04-21 12:29:37,3083
55,-6,nan,nan,nan,2021-04-21 12:29:37,3083
56,6,nan,nan,nan,2021-04-21 12:29:37,3086
56,-6,nan,nan,nan,2021-04-21 12:29:37,3086
57,6,nan,nan,nan,2021-04-21 12:29:37,3093
57,-6,nan,nan,nan,2021-04-21 12:29:37,3093
58,6,nan,nan,nan,2021-04-21 12:29:37,3103
58,-6,nan,nan,nan,2021-04-21 12:29:37,3103
59,6,nan,nan,nan,2021-04-21 12:29:37,3112
59,-6,nan,nan,nan,2021-04-21 12:29:37,3112
60,6,nan,nan,nan,2021-04-21 12:29:38,3124
60,-6,nan,nan,nan,2021-04-21 12:29:38,3124
61,6,nan,nan,nan,2021-04-21 12:29:38,3129
61,-6,nan,nan,nan,2021-04-21 12:29:38,3129
62,6,nan,nan,nan,2021-04-21 12:29:38,3140
62,-6,nan,nan,nan,2021-04-21 12:29:38,3140
63,6,nan,nan,nan,2021-04-21 12:29:38,3145
63,-6,nan,nan,nan,2021-04-21 12:29:38,3145
64,6,nan,nan,nan,2021-04-21 12:29:39,3162
64,-6,nan,nan,nan,2021-04-21 12:29:39,3162
65,6,nan,nan,nan,2021-04-21 12:29:39,3182
65,-6,nan,nan,nan,2021-04-21 12:29:39,3182
66,6,nan,nan,nan,2021-04-21 12:29:40,3206
66,-6,nan,nan,nan,2021-04-21 12:29:40,3206
67,6,nan,nan,nan,2021-04-21 12:29:40,3227
67,-6,nan,nan,nan,2021-04-21 12:29:40,3227
68,6,nan,nan,nan,2021-04-21 12:29:41,3244
68,-6,nan,nan,nan,2021-04-21 12:29:41,3244
69,6,nan,nan,nan,2021-04-21 12:29:42,3273
69,-6,nan,nan,nan,2021-04-21 12:29:42,3273
70,6,nan,nan,nan,2021-04-21 12:29:42,3274
70,-6,nan,nan,nan,2021-04-21 12:29:42,3274
71,6,nan,nan,nan,2021-04-21 12:29:42,3301
71,-6,nan,nan,nan,2021-04-21 12:29:42,3301
72,6,nan,nan,nan,2021-04-21 12:29:43,3318
72,-6,nan,nan,nan,2021-04-21 12:29:43,3318
73,6,nan,nan,nan,2021-04-21 12:29:44,3352
