ID,crash_style,max,mean,norm,record_time,baseID
1,6,nan,nan,nan,2021-04-21 12:28:43,343
1,-6,nan,nan,nan,2021-04-21 12:28:43,343
2,6,nan,nan,nan,2021-04-21 12:28:48,519
2,-6,nan,nan,nan,2021-04-21 12:28:48,519
3,6,nan,nan,nan,2021-04-21 12:28:53,751
3,-6,nan,nan,nan,2021-04-21 12:28:53,751
4,6,nan,nan,nan,2021-04-21 12:28:54,791
4,-6,nan,nan,nan,2021-04-21 12:28:54,791
5,6,nan,nan,nan,2021-04-21 12:28:55,812
5,-6,nan,nan,nan,2021-04-21 12:28:55,812
6,6,nan,nan,nan,2021-04-21 12:28:58,963
6,-6,nan,nan,nan,2021-04-21 12:28:58,963
7,6,nan,nan,nan,2021-04-21 12:29:00,1026
7,-6,nan,nan,nan,2021-04-21 12:29:00,1026
8,6,nan,nan,nan,2021-04-21 12:29:01,1052
8,-6,nan,nan,nan,2021-04-21 12:29:01,1052
9,6,nan,nan,nan,2021-04-21 12:29:03,1151
9,-6,nan,nan,nan,2021-04-21 12:29:03,1151
10,6,nan,nan,nan,2021-04-21 12:29:04,1212
10,-6,nan,nan,nan,2021-04-21 12:29:04,1212
11,6,nan,nan,nan,2021-04-21 12:29:05,1232
11,-6,nan,nan,nan,2021-04-21 12:29:05,1232
12,6,nan,nan,nan,2021-04-21 12:29:05,1247
12,-6,nan,nan,nan,2021-04-21 12:29:05,1247
13,6,nan,nan,nan,2021-04-21 12:29:06,1256
13,-6,nan,nan,nan,2021-04-21 12:29:06,1256
14,6,nan,nan,nan,2021-04-21 12:29:06,1260
14,-6,nan,nan,nan,2021-04-21 12:29:06,1260
15,6,nan,nan,nan,2021-04-21 12:29:06,1267
15,-6,nan,nan,nan,2021-04-21 12:29:06,1267
16,6,nan,nan,nan,2021-04-21 12:29:06,1278
16,-6,nan,nan,nan,2021-04-21 12:29:06,1278
17,6,nan,nan,nan,2021-04-21 12:29:07,1290
17,-6,nan,nan,nan,2021-04-21 12:29:07,1290
18,6,nan,nan,nan,2021-04-21 12:29:07,1324
18,-6,nan,nan,nan,2021-04-21 12:29:07,1324
19,6,nan,nan,nan,2021-04-21 12:29:08,1330
19,-6,nan,nan,nan,2021-04-21 12:29:08,1330
20,6,nan,nan,nan,2021-04-21 12:29:08,1331
20,-6,nan,nan,nan,2021-04-21 12:29:08,1331
21,6,nan,nan,nan,2021-04-21 12:29:09,1364
21,-6,nan,nan,nan,2021-04-21 12:29:09,1364
22,6,nan,nan,nan,2021-04-21 12:29:09,1383
22,-6,nan,nan,nan,2021-04-21 12:29:09,1383
23,6,nan,nan,nan,2021-04-21 12:29:09,1387
23,-6,nan,nan,nan,2021-04-21 12:29:09,1387
24,6,nan,nan,nan,2021-04-21 12:29:09,1392
24,-6,nan,nan,nan,2021-04-21 12:29:09,1392
25,6,nan,nan,nan,2021-04-21 12:29:10,1408
25,-6,nan,nan,nan,2021-04-21 12:29:10,1408
26,6,nan,nan,nan,2021-04-21 12:29:11,1433
26,-6,nan,nan,nan,2021-04-21 12:29:11,1433
27,6,nan,nan,nan,2021-04-21 12:29:11,1434
27,-6,nan,nan,nan,2021-04-21 12:29:11,1434
28,6,nan,nan,nan,2021-04-21 12:29:11,1449
28,-6,nan,nan,nan,2021-04-21 12:29:11,1449
29,6,nan,nan,nan,2021-04-21 12:29:11,1454
29,-6,nan,nan,nan,2021-04-21 12:29:11,1454
30,6,nan,nan,nan,2021-04-21 12:29:13,1499
30,-6,nan,nan,nan,2021-04-21 12:29:13,1499
31,6,nan,nan,nan,2021-04-21 12:29:14,1559
31,-6,nan,nan,nan,2021-04-21 12:29:14,1559
32,6,nan,nan,nan,2021-04-21 12:29:14,1580
32,-6,nan,nan,nan,2021-04-21 12:29:14,1580
33,6,nan,nan,nan,2021-04-21 12:29:15,1602
33,-6,nan,nan,nan,2021-04-21 12:29:15,1602
34,6,nan,nan,nan,2021-04-21 12:29:15,1606
34,-6,nan,nan,nan,2021-04-21 12:29:15,1606
35,6,nan,nan,nan,2021-04-21 12:29:16,1641
35,-6,nan,nan,nan,2021-04-21 12:29:16,1641
36,6,nan,nan,nan,2021-04-21 12:29:16,1651
36,-6,nan,nan,nan,2021-04-21 12:29:16,1651
37,6,nan,nan,nan,2021-04-21 12:29:16,1663
37,-6,nan,nan,nan,2021-04-21 12:29:16,1663
38,6,nan,nan,nan,2021-04-21 12:29:16,1673
38,-6,nan,nan,nan,2021-04-21 12:29:16,1673
39,6,nan,nan,nan,2021-04-21 12:29:17,1701
39,-6,nan,nan,nan,2021-04-21 12:29:17,1701
40,6,nan,nan,nan,2021-04-21 12:29:17,1710
40,-6,nan,nan,nan,2021-04-21 12:29:17,1710
41,6,nan,nan,nan,2021-04-21 12:29:19,1767
41,-6,nan,nan,nan,2021-04-21 12:29:19,1767
42,6,nan,nan,nan,2021-04-21 12:29:19,1773
42,-6,nan,nan,nan,2021-04-21 12:29:19,1773
43,6,nan,nan,nan,2021-04-21 12:29:20,1791
43,-6,nan,nan,nan,2021-04-21 12:29:20,1791
44,6,nan,nan,nan,2021-04-21 12:29:21,1832
44,-6,nan,nan,nan,2021-04-21 12:29:21,1832
45,6,nan,nan,nan,2021-04-21 12:29:21,1839
45,-6,nan,nan,nan,2021-04-21 12:29:21,1839
46,6,nan,nan,nan,2021-04-21 12:29:22,1871
46,-6,nan,nan,nan,2021-04-21 12:29:22,1871
47,6,nan,nan,nan,2021-04-21 12:29:22,1892
