ID,crash_style,max,mean,norm,record_time,baseID
1,3,nan,nan,nan,2021-04-21 17:42:28,32
2,3,nan,nan,nan,2021-04-21 17:42:29,79
3,3,nan,nan,nan,2021-04-21 17:42:29,82
4,3,nan,nan,nan,2021-04-21 17:42:30,107
5,3,nan,nan,nan,2021-04-21 17:42:30,110
6,3,nan,nan,nan,2021-04-21 17:42:30,117
7,3,nan,nan,nan,2021-04-21 17:42:31,144
8,3,nan,nan,nan,2021-04-21 17:42:31,159
9,3,nan,nan,nan,2021-04-21 17:42:31,166
10,3,nan,nan,nan,2021-04-21 17:42:32,175
11,3,nan,nan,nan,2021-04-21 17:42:32,186
12,3,nan,nan,nan,2021-04-21 17:42:32,188
13,3,nan,nan,nan,2021-04-21 17:42:32,190
14,3,nan,nan,nan,2021-04-21 17:42:32,215
15,3,nan,nan,nan,2021-04-21 17:42:33,252
16,3,nan,nan,nan,2021-04-21 17:42:34,284
17,3,nan,nan,nan,2021-04-21 17:42:34,288
18,3,nan,nan,nan,2021-04-21 17:42:34,289
19,3,nan,nan,nan,2021-04-21 17:42:34,293
20,3,nan,nan,nan,2021-04-21 17:42:34,299
21,3,nan,nan,nan,2021-04-21 17:42:35,307
22,3,nan,nan,nan,2021-04-21 17:42:36,368
23,3,nan,nan,nan,2021-04-21 17:42:37,424
24,3,nan,nan,nan,2021-04-21 17:42:38,432
25,3,nan,nan,nan,2021-04-21 17:42:38,456
26,3,nan,nan,nan,2021-04-21 17:42:38,466
27,3,nan,nan,nan,2021-04-21 17:42:39,470
28,3,nan,nan,nan,2021-04-21 17:42:40,518
29,3,nan,nan,nan,2021-04-21 17:42:40,527
30,3,nan,nan,nan,2021-04-21 17:42:41,559
31,3,nan,nan,nan,2021-04-21 17:42:41,560
32,3,nan,nan,nan,2021-04-21 17:42:41,572
33,3,nan,nan,nan,2021-04-21 17:42:42,600
34,3,nan,nan,nan,2021-04-21 17:42:42,624
35,3,nan,nan,nan,2021-04-21 17:42:42,628
