ID,crash_style,max,mean,norm,record_time,baseID
1,3,nan,nan,nan,2021-04-21 18:02:53,219
2,3,nan,nan,nan,2021-04-21 18:02:57,389
3,3,nan,nan,nan,2021-04-21 18:02:58,453
4,3,nan,nan,nan,2021-04-21 18:03:07,809
5,3,nan,nan,nan,2021-04-21 18:03:14,1114
6,3,nan,nan,nan,2021-04-21 18:03:15,1150
7,3,nan,nan,nan,2021-04-21 18:03:21,1373
8,3,nan,nan,nan,2021-04-21 18:03:22,1420
9,3,nan,nan,nan,2021-04-21 18:03:23,1487
10,3,nan,nan,nan,2021-04-21 18:03:23,1490
11,3,nan,nan,nan,2021-04-21 18:03:25,1569
12,3,nan,nan,nan,2021-04-21 18:03:26,1580
13,3,nan,nan,nan,2021-04-21 18:03:27,1628
14,3,nan,nan,nan,2021-04-21 18:03:29,1708
15,3,nan,nan,nan,2021-04-21 18:03:29,1721
16,3,nan,nan,nan,2021-04-21 18:03:30,1767
17,3,nan,nan,nan,2021-04-21 18:03:31,1784
18,3,nan,nan,nan,2021-04-21 18:03:32,1823
19,3,nan,nan,nan,2021-04-21 18:03:33,1899
20,3,nan,nan,nan,2021-04-21 18:03:34,1930
21,3,nan,nan,nan,2021-04-21 18:03:34,1942
22,3,nan,nan,nan,2021-04-21 18:03:36,2015
23,3,nan,nan,nan,2021-04-21 18:03:37,2036
24,3,nan,nan,nan,2021-04-21 18:03:40,2172
25,3,nan,nan,nan,2021-04-21 18:03:40,2176
26,3,nan,nan,nan,2021-04-21 18:03:41,2216
27,3,nan,nan,nan,2021-04-21 18:03:41,2230
28,3,nan,nan,nan,2021-04-21 18:03:42,2243
29,3,nan,nan,nan,2021-04-21 18:03:43,2318
30,3,nan,nan,nan,2021-04-21 18:03:44,2324
31,3,nan,nan,nan,2021-04-21 18:03:44,2345
32,3,nan,nan,nan,2021-04-21 18:03:44,2355
33,3,nan,nan,nan,2021-04-21 18:03:44,2356
34,3,nan,nan,nan,2021-04-21 18:03:45,2379
35,3,nan,nan,nan,2021-04-21 18:03:47,2459
36,3,nan,nan,nan,2021-04-21 18:03:47,2472
37,3,nan,nan,nan,2021-04-21 18:03:48,2505
38,3,nan,nan,nan,2021-04-21 18:03:49,2540
39,3,nan,nan,nan,2021-04-21 18:03:49,2563
40,3,nan,nan,nan,2021-04-21 18:03:49,2574
41,3,nan,nan,nan,2021-04-21 18:03:50,2602
42,3,nan,nan,nan,2021-04-21 18:03:51,2635
43,3,nan,nan,nan,2021-04-21 18:03:51,2636
44,3,nan,nan,nan,2021-04-21 18:03:53,2736
45,3,nan,nan,nan,2021-04-21 18:03:55,2790
46,3,nan,nan,nan,2021-04-21 18:03:55,2803
47,3,nan,nan,nan,2021-04-21 18:03:55,2804
48,3,nan,nan,nan,2021-04-21 18:03:57,2875
49,3,nan,nan,nan,2021-04-21 18:03:57,2903
50,3,nan,nan,nan,2021-04-21 18:03:58,2934
51,3,nan,nan,nan,2021-04-21 18:04:00,2999
52,3,nan,nan,nan,2021-04-21 18:04:02,3082
53,3,nan,nan,nan,2021-04-21 18:04:03,3139
54,3,nan,nan,nan,2021-04-21 18:04:08,3333
55,3,nan,nan,nan,2021-04-21 18:04:16,3691
56,3,nan,nan,nan,2021-04-21 18:04:25,4075
57,3,nan,nan,nan,2021-04-21 18:04:32,4330
58,3,nan,nan,nan,2021-04-21 18:04:32,4351
59,3,nan,nan,nan,2021-04-21 18:04:34,4431
60,3,nan,nan,nan,2021-04-21 18:04:35,4478
61,3,nan,nan,nan,2021-04-21 18:04:39,4624
62,3,nan,nan,nan,2021-04-21 18:04:41,4711
63,3,nan,nan,nan,2021-04-21 18:04:48,5032
64,3,nan,nan,nan,2021-04-21 18:04:52,5188
65,3,nan,nan,nan,2021-04-21 18:05:00,5514
66,3,nan,nan,nan,2021-04-21 18:05:01,5544
67,3,nan,nan,nan,2021-04-21 18:05:03,5626
68,3,nan,nan,nan,2021-04-21 18:05:03,5628
69,3,nan,nan,nan,2021-04-21 18:05:05,5709
70,3,nan,nan,nan,2021-04-21 18:05:10,5912
71,3,nan,nan,nan,2021-04-21 18:05:11,5970
72,3,nan,nan,nan,2021-04-21 18:05:13,6038
73,3,nan,nan,nan,2021-04-21 18:05:13,6041
74,3,nan,nan,nan,2021-04-21 18:05:15,6116
75,3,nan,nan,nan,2021-04-21 18:05:17,6198
76,3,nan,nan,nan,2021-04-21 18:05:18,6265
77,3,nan,nan,nan,2021-04-21 18:05:21,6370
78,3,nan,nan,nan,2021-04-21 18:05:22,6429
79,3,nan,nan,nan,2021-04-21 18:05:23,6453
80,3,nan,nan,nan,2021-04-21 18:05:25,6531
81,3,nan,nan,nan,2021-04-21 18:05:29,6689
82,3,nan,nan,nan,2021-04-21 18:05:29,6694
83,3,nan,nan,nan,2021-04-21 18:05:29,6700
84,3,nan,nan,nan,2021-04-21 18:05:29,6723
85,3,nan,nan,nan,2021-04-21 18:05:34,6898
86,3,nan,nan,nan,2021-04-21 18:05:34,6907
87,3,nan,nan,nan,2021-04-21 18:05:35,6958
88,3,nan,nan,nan,2021-04-21 18:05:37,7031
89,3,nan,nan,nan,2021-04-21 18:05:37,7054
90,3,nan,nan,nan,2021-04-21 18:05:39,7133
91,3,nan,nan,nan,2021-04-21 18:05:41,7203
92,3,nan,nan,nan,2021-04-21 18:05:44,7311
93,3,nan,nan,nan,2021-04-21 18:05:45,7379
94,3,nan,nan,nan,2021-04-21 18:05:48,7477
95,3,nan,nan,nan,2021-04-21 18:05:50,7554
96,3,nan,nan,nan,2021-04-21 18:05:50,7559
97,3,nan,nan,nan,2021-04-21 18:05:51,7609
98,3,nan,nan,nan,2021-04-21 18:05:52,7636
99,3,nan,nan,nan,2021-04-21 18:05:54,7739
100,3,nan,nan,nan,2021-04-21 18:05:57,7855
101,3,nan,nan,nan,2021-04-21 18:05:58,7908
102,3,nan,nan,nan,2021-04-21 18:06:00,8001
103,3,nan,nan,nan,2021-04-21 18:06:02,8061
104,3,nan,nan,nan,2021-04-21 18:06:05,8196
105,3,nan,nan,nan,2021-04-21 18:06:06,8257
106,3,nan,nan,nan,2021-04-21 18:06:07,8288
107,3,nan,nan,nan,2021-04-21 18:06:08,8332
108,3,nan,nan,nan,2021-04-21 18:06:16,8670
109,3,nan,nan,nan,2021-04-21 18:06:17,8701
110,3,nan,nan,nan,2021-04-21 18:06:17,8708
111,3,nan,nan,nan,2021-04-21 18:06:18,8727
112,3,nan,nan,nan,2021-04-21 18:06:19,8753
113,3,nan,nan,nan,2021-04-21 18:06:19,8780
114,3,nan,nan,nan,2021-04-21 18:06:21,8846
115,3,nan,nan,nan,2021-04-21 18:06:21,8873
116,3,nan,nan,nan,2021-04-21 18:06:22,8910
117,3,nan,nan,nan,2021-04-21 18:06:24,8980
118,3,nan,nan,nan,2021-04-21 18:06:24,8994
119,3,nan,nan,nan,2021-04-21 18:06:24,8999
120,3,nan,nan,nan,2021-04-21 18:06:25,9023
121,3,nan,nan,nan,2021-04-21 18:06:25,9038
122,3,nan,nan,nan,2021-04-21 18:06:26,9048
123,3,nan,nan,nan,2021-04-21 18:06:26,9050
124,3,nan,nan,nan,2021-04-21 18:06:26,9052
125,3,nan,nan,nan,2021-04-21 18:06:26,9065
126,3,nan,nan,nan,2021-04-21 18:06:27,9087
127,3,nan,nan,nan,2021-04-21 18:06:28,9132
128,3,nan,nan,nan,2021-04-21 18:06:28,9150
129,3,nan,nan,nan,2021-04-21 18:06:28,9160
130,3,nan,nan,nan,2021-04-21 18:06:29,9177
131,3,nan,nan,nan,2021-04-21 18:06:29,9178
132,3,nan,nan,nan,2021-04-21 18:06:29,9179
133,3,nan,nan,nan,2021-04-21 18:06:29,9188
134,3,nan,nan,nan,2021-04-21 18:06:29,9190
135,3,nan,nan,nan,2021-04-21 18:06:29,9201
136,3,nan,nan,nan,2021-04-21 18:06:30,9227
137,3,nan,nan,nan,2021-04-21 18:06:31,9273
138,3,nan,nan,nan,2021-04-21 18:06:31,9280
139,3,nan,nan,nan,2021-04-21 18:06:31,9281
140,3,nan,nan,nan,2021-04-21 18:06:32,9301
141,3,nan,nan,nan,2021-04-21 18:06:32,9313
142,3,nan,nan,nan,2021-04-21 18:06:32,9330
143,3,nan,nan,nan,2021-04-21 18:06:33,9368
144,3,nan,nan,nan,2021-04-21 18:06:33,9369
145,3,nan,nan,nan,2021-04-21 18:06:34,9377
146,3,nan,nan,nan,2021-04-21 18:06:34,9379
147,3,nan,nan,nan,2021-04-21 18:06:34,9385
148,3,nan,nan,nan,2021-04-21 18:06:34,9386
149,3,nan,nan,nan,2021-04-21 18:06:34,9392
150,3,nan,nan,nan,2021-04-21 18:06:34,9398
151,3,nan,nan,nan,2021-04-21 18:06:34,9401
152,3,nan,nan,nan,2021-04-21 18:06:34,9404
153,3,nan,nan,nan,2021-04-21 18:06:35,9422
154,3,nan,nan,nan,2021-04-21 18:06:35,9436
155,3,nan,nan,nan,2021-04-21 18:06:35,9452
156,3,nan,nan,nan,2021-04-21 18:06:36,9456
157,3,nan,nan,nan,2021-04-21 18:06:36,9479
158,3,nan,nan,nan,2021-04-21 18:06:36,9481
159,3,nan,nan,nan,2021-04-21 18:06:36,9482
160,3,nan,nan,nan,2021-04-21 18:06:36,9492
161,3,nan,nan,nan,2021-04-21 18:06:37,9498
162,3,nan,nan,nan,2021-04-21 18:06:37,9514
163,3,nan,nan,nan,2021-04-21 18:06:37,9516
164,3,nan,nan,nan,2021-04-21 18:06:37,9518
165,3,nan,nan,nan,2021-04-21 18:06:37,9523
166,3,nan,nan,nan,2021-04-21 18:06:38,9556
167,3,nan,nan,nan,2021-04-21 18:06:38,9558
168,3,nan,nan,nan,2021-04-21 18:06:38,9565
169,3,nan,nan,nan,2021-04-21 18:06:38,9568
170,3,nan,nan,nan,2021-04-21 18:06:38,9575
171,3,nan,nan,nan,2021-04-21 18:06:39,9601
172,3,nan,nan,nan,2021-04-21 18:06:39,9611
173,3,nan,nan,nan,2021-04-21 18:06:40,9630
174,3,nan,nan,nan,2021-04-21 18:06:40,9635
175,3,nan,nan,nan,2021-04-21 18:06:40,9645
176,3,nan,nan,nan,2021-04-21 18:06:40,9646
177,3,nan,nan,nan,2021-04-21 18:06:40,9649
178,3,nan,nan,nan,2021-04-21 18:06:40,9656
179,3,nan,nan,nan,2021-04-21 18:06:40,9657
180,3,nan,nan,nan,2021-04-21 18:06:41,9661
181,3,nan,nan,nan,2021-04-21 18:06:41,9667
182,3,nan,nan,nan,2021-04-21 18:06:41,9674
183,3,nan,nan,nan,2021-04-21 18:06:41,9675
184,3,nan,nan,nan,2021-04-21 18:06:41,9679
185,3,nan,nan,nan,2021-04-21 18:06:41,9682
186,3,nan,nan,nan,2021-04-21 18:06:41,9699
187,3,nan,nan,nan,2021-04-21 18:06:42,9703
188,3,nan,nan,nan,2021-04-21 18:06:42,9714
189,3,nan,nan,nan,2021-04-21 18:06:42,9715
190,3,nan,nan,nan,2021-04-21 18:06:42,9734
191,3,nan,nan,nan,2021-04-21 18:06:42,9744
192,3,nan,nan,nan,2021-04-21 18:06:43,9750
193,3,nan,nan,nan,2021-04-21 18:06:43,9756
194,3,nan,nan,nan,2021-04-21 18:06:43,9760
195,3,nan,nan,nan,2021-04-21 18:06:43,9769
196,3,nan,nan,nan,2021-04-21 18:06:43,9778
197,3,nan,nan,nan,2021-04-21 18:06:43,9781
198,3,nan,nan,nan,2021-04-21 18:06:43,9782
199,3,nan,nan,nan,2021-04-21 18:06:44,9795
200,3,nan,nan,nan,2021-04-21 18:06:44,9797
201,3,nan,nan,nan,2021-04-21 18:06:44,9798
202,3,nan,nan,nan,2021-04-21 18:06:45,9831
203,3,nan,nan,nan,2021-04-21 18:06:45,9840
204,3,nan,nan,nan,2021-04-21 18:06:45,9849
205,3,nan,nan,nan,2021-04-21 18:06:45,9852
206,3,nan,nan,nan,2021-04-21 18:06:45,9854
207,3,nan,nan,nan,2021-04-21 18:06:46,9876
208,3,nan,nan,nan,2021-04-21 18:06:46,9912
209,3,nan,nan,nan,2021-04-21 18:06:47,9919
210,3,nan,nan,nan,2021-04-21 18:06:47,9924
211,3,nan,nan,nan,2021-04-21 18:06:47,9930
212,3,nan,nan,nan,2021-04-21 18:06:47,9952
213,3,nan,nan,nan,2021-04-21 18:06:48,9967
214,3,nan,nan,nan,2021-04-21 18:06:48,9970
215,3,nan,nan,nan,2021-04-21 18:06:48,9972
216,3,nan,nan,nan,2021-04-21 18:06:48,9976
217,3,nan,nan,nan,2021-04-21 18:06:48,9982
218,3,nan,nan,nan,2021-04-21 18:06:48,9987
219,3,nan,nan,nan,2021-04-21 18:06:48,9993
220,3,nan,nan,nan,2021-04-21 18:06:49,10000
221,3,nan,nan,nan,2021-04-21 18:06:49,10001
222,3,nan,nan,nan,2021-04-21 18:06:49,10011
223,3,nan,nan,nan,2021-04-21 18:06:49,10014
224,3,nan,nan,nan,2021-04-21 18:06:49,10029
225,3,nan,nan,nan,2021-04-21 18:06:50,10036
226,3,nan,nan,nan,2021-04-21 18:06:50,10037
227,3,nan,nan,nan,2021-04-21 18:06:50,10045
228,3,nan,nan,nan,2021-04-21 18:06:50,10054
229,3,nan,nan,nan,2021-04-21 18:06:50,10058
230,3,nan,nan,nan,2021-04-21 18:06:50,10073
231,3,nan,nan,nan,2021-04-21 18:06:51,10095
232,3,nan,nan,nan,2021-04-21 18:06:51,10100
233,3,nan,nan,nan,2021-04-21 18:06:51,10106
234,3,nan,nan,nan,2021-04-21 18:06:51,10108
235,3,nan,nan,nan,2021-04-21 18:06:52,10128
236,3,nan,nan,nan,2021-04-21 18:06:53,10174
237,3,nan,nan,nan,2021-04-21 18:06:53,10188
238,3,nan,nan,nan,2021-04-21 18:06:53,10195
239,3,nan,nan,nan,2021-04-21 18:06:54,10204
240,3,nan,nan,nan,2021-04-21 18:06:54,10207
241,3,nan,nan,nan,2021-04-21 18:06:54,10222
242,3,nan,nan,nan,2021-04-21 18:06:54,10225
243,3,nan,nan,nan,2021-04-21 18:06:54,10226
244,3,nan,nan,nan,2021-04-21 18:06:54,10232
245,3,nan,nan,nan,2021-04-21 18:06:55,10245
246,3,nan,nan,nan,2021-04-21 18:06:55,10252
247,3,nan,nan,nan,2021-04-21 18:06:55,10255
248,3,nan,nan,nan,2021-04-21 18:06:55,10266
249,3,nan,nan,nan,2021-04-21 18:06:55,10272
250,3,nan,nan,nan,2021-04-21 18:06:55,10277
251,3,nan,nan,nan,2021-04-21 18:06:55,10278
252,3,nan,nan,nan,2021-04-21 18:06:56,10286
253,3,nan,nan,nan,2021-04-21 18:06:56,10289
254,3,nan,nan,nan,2021-04-21 18:06:56,10291
255,3,nan,nan,nan,2021-04-21 18:06:56,10303
256,3,nan,nan,nan,2021-04-21 18:06:56,10308
257,3,nan,nan,nan,2021-04-21 18:06:56,10313
258,3,nan,nan,nan,2021-04-21 18:06:57,10330
259,3,nan,nan,nan,2021-04-21 18:06:57,10336
260,3,nan,nan,nan,2021-04-21 18:06:57,10337
261,3,nan,nan,nan,2021-04-21 18:06:57,10342
262,3,nan,nan,nan,2021-04-21 18:06:57,10359
263,3,nan,nan,nan,2021-04-21 18:06:58,10365
264,3,nan,nan,nan,2021-04-21 18:06:58,10368
265,3,nan,nan,nan,2021-04-21 18:06:58,10371
266,3,nan,nan,nan,2021-04-21 18:06:58,10374
267,3,nan,nan,nan,2021-04-21 18:06:58,10377
268,3,nan,nan,nan,2021-04-21 18:06:58,10404
269,3,nan,nan,nan,2021-04-21 18:06:59,10408
270,3,nan,nan,nan,2021-04-21 18:06:59,10413
271,3,nan,nan,nan,2021-04-21 18:06:59,10416
272,3,nan,nan,nan,2021-04-21 18:06:59,10419
273,3,nan,nan,nan,2021-04-21 18:06:59,10425
274,3,nan,nan,nan,2021-04-21 18:06:59,10443
275,3,nan,nan,nan,2021-04-21 18:06:59,10445
276,3,nan,nan,nan,2021-04-21 18:07:00,10452
277,3,nan,nan,nan,2021-04-21 18:07:00,10462
278,3,nan,nan,nan,2021-04-21 18:07:00,10463
279,3,nan,nan,nan,2021-04-21 18:07:00,10467
280,3,nan,nan,nan,2021-04-21 18:07:00,10472
281,3,nan,nan,nan,2021-04-21 18:07:00,10480
282,3,nan,nan,nan,2021-04-21 18:07:01,10488
283,3,nan,nan,nan,2021-04-21 18:07:01,10498
284,3,nan,nan,nan,2021-04-21 18:07:01,10501
285,3,nan,nan,nan,2021-04-21 18:07:01,10503
286,3,nan,nan,nan,2021-04-21 18:07:01,10505
287,3,nan,nan,nan,2021-04-21 18:07:02,10534
288,3,nan,nan,nan,2021-04-21 18:07:02,10538
289,3,nan,nan,nan,2021-04-21 18:07:02,10543
290,3,nan,nan,nan,2021-04-21 18:07:02,10556
291,3,nan,nan,nan,2021-04-21 18:07:02,10558
292,3,nan,nan,nan,2021-04-21 18:07:03,10575
293,3,nan,nan,nan,2021-04-21 18:07:03,10581
294,3,nan,nan,nan,2021-04-21 18:07:03,10591
295,3,nan,nan,nan,2021-04-21 18:07:03,10599
296,3,nan,nan,nan,2021-04-21 18:07:03,10601
297,3,nan,nan,nan,2021-04-21 18:07:03,10606
298,3,nan,nan,nan,2021-04-21 18:07:04,10616
299,3,nan,nan,nan,2021-04-21 18:07:04,10618
300,3,nan,nan,nan,2021-04-21 18:07:04,10619
301,3,nan,nan,nan,2021-04-21 18:07:04,10622
302,3,nan,nan,nan,2021-04-21 18:07:05,10652
303,3,nan,nan,nan,2021-04-21 18:07:05,10659
304,3,nan,nan,nan,2021-04-21 18:07:05,10663
305,3,nan,nan,nan,2021-04-21 18:07:05,10677
306,3,nan,nan,nan,2021-04-21 18:07:05,10680
307,3,nan,nan,nan,2021-04-21 18:07:05,10685
308,3,nan,nan,nan,2021-04-21 18:07:06,10691
309,3,nan,nan,nan,2021-04-21 18:07:06,10696
310,3,nan,nan,nan,2021-04-21 18:07:06,10704
311,3,nan,nan,nan,2021-04-21 18:07:06,10710
312,3,nan,nan,nan,2021-04-21 18:07:06,10712
313,3,nan,nan,nan,2021-04-21 18:07:06,10715
314,3,nan,nan,nan,2021-04-21 18:07:06,10716
315,3,nan,nan,nan,2021-04-21 18:07:06,10724
316,3,nan,nan,nan,2021-04-21 18:07:06,10727
317,3,nan,nan,nan,2021-04-21 18:07:06,10728
318,3,nan,nan,nan,2021-04-21 18:07:07,10754
319,3,nan,nan,nan,2021-04-21 18:07:07,10760
320,3,nan,nan,nan,2021-04-21 18:07:07,10761
